"B_A_Codice_Fiscale","Brand_Preferito"
"ACFGNQ30L49C290E","VUE"
"ATOPPV18I18V056E","TT"
"AVJMVS27Z20H763L","Avenger"
"AYYGFF86S30M223A","Accent"
"BGQMOS11P86Q149K","C8 Spyder"
"BTLCNU38B77A480P","riolet"
"BWLFES44M80C407K","Quattroporte"
"CISNIA37X86R911F","MPV"
"CIZGWH45Q71V543Z","Elantra"
"CSLOLY28G46O506M","G"
"DBLGDH64L13N537B","Forenza"
"DJQLIS80B95H293O","Cougar"
"DPJSBJ29Z52F587B","DB9"
"DQBXBH84Q87T608G","E350"
"DTNHEY49U97A228M","Astro"
"DWZGPH36V95T072R","Grand Am"
"DXDGKX90W87Y932Z","Escalade ESV"
"DZETJN50Z07U534A","Stealth"
"EBOLCV84Q24N774C","Achieva"
"EHGLZS25F40M201I","Century"
"EHNKGS82J60Q385Z","Eclipse"
"EKOTEO03D79C695W","Camaro"
"ENEGRD73I87H140X","F250"
"ETXKVQ18D71H299N","Suburban 2500"
"EUFYNR16X90S631F","Concorde"
"EUJURP79S37H611F","960"
"EZLSOV40Y29F786I","Eclipse"
"FALDMA79A02E678K","Jetta"
"FEQZTT01K44U855V","Grand Prix"
"FILXNU71F40Y532I","Montero"
"GICCIN03P68N368D","Range Rover"
"GKALBL56A02C139J","Suburban 1500"
"GPWFZG35E01C104Y","Endeavor"
"GVTHTE67W76X522E","V40"
"GWSWCE20P38A006U","Silverado 2500"
"GZEHLR76D39C543A","Countach"
"HHATWT08D60D062Y","Stratus"
"HHBEPI57O65K856C","Villager"
"HKGSWS83V01P425N","Corolla"
"HVYDZC52N40G147U","Continental Flying Spur"
"HYGYDE43Y42E709K","Sentra"
"HZAVUY41G66L333X","Econoline E350"
"IDNEDA42K99Z105D","SL-Class"
"IDUATR61E69Y654E","Firefly"
"IGMUSX66C80A459K","V50"
"IKCAYP92R66W837J","Touareg"
"IVVAMK71D96D702P","Tribute"
"JERYSF73Y93B513L","Camaro"
"JHSBBG81L95Q613T","Sentra"
"JTGHVB47L45I393J","Frontier"
"JXJDGT67V10U184X","XC90"
"KGWCCR64N20M371K","Escalade"
"KMPGHY22U71K207Q","Rabbit"
"KNROCO54P56H810X","Celica"
"KWAQDB74C35Z586L","Ram Wagon B150"
"KYMCSM73C48N347N","G"
"LJZAEO13N20W224J","F250"
"LKJXSC71S73H779Q","RAV4"
"LOSEGH03R19H163D","Cabriolet"
"LPWMRY69X73W341C","Esprit"
"LRGQSJ30V92V352A","Milan"
"LSFPBQ10U09G931S","Sorento"
"LWHQLJ48J26E443F","Club Wagon"
"LZYVRC98C75I155R","3 Series"
"LZYZFZ86Q98M893U","Suburban 2500"
"MBIOWU23F78K866P","Capri"
"MLEWLJ14B56G997X","Sebring"
"MOTDTS40Z94X404B","Regal"
"MQBVSE69G24X064B","Highlander"
"MQOITN77R10W569M","Prelude"
"MQRHFW38P55L584M","Interceptor"
"MRFBHV75F19E331I","XC70"
"MRRQBD39M25T250G","Rio"
"MUOGXW35O40R079Q","GLI"
"MXZDCD63C48U147N","Grand Prix"
"NABPLF99T42E507S","Z3"
"NFSRGR11Y03N801M","E-Series"
"NJODBW91S86G879X","Durango"
"NNASML76Q64W590P","Continental"
"NUOJUU31A45U320R","Malibu"
"NWWLEM13X36Q264E","VUE"
"NZKDTB88N83Q628F","Cougar"
"OBCPNB47W37D727O","Jetta"
"OBSAYK46W87D210D","Sierra 2500"
"ODAOBR73F09Q200J","Carrera GT"
"OHIGNH41D64K664W","Skylark"
"OIMLAU06U16T552F","Yukon XL 1500"
"OJTTKQ18U59R405T","Galaxie"
"OJZQXD44V55I204E","Quattroporte"
"OMASMN29R87E201T","B-Series"
"OQMVMT12S91T266A","Countryman"
"OTGPQC58Z84Z320S","Truck Xtracab SR5"
"OZVRKR96U73F698M","Previa"
"PADBXY05D59J640O","California"
"PEPAOE07O92M683Z","Celica"
"PJQKOH05A29Q376V","Murano"
"PMZCJF65P13O955Y","LeSabre"
"PRNQQS94T77N371B","Roadmaster"
"PUFMAQ18Q60C969U","Cooper"
"PXHVMC72N67J929R","Expedition"
"QDVRDB36T13B101K","914"
"QEFFZC20W06U053I","Sentra"
"QLFGBG14D97K963Z","Grand Caravan"
"QNNWOP03R38H444V","Escort"
"QSWUSY71S05C168H","Chariot"
"QUIUTN54N72M832J","Hombre"
"QVPIMX18Y61Y433R","Skylark"
"QYDKBO24F43L414S","Mariner"
"RARJPS09X74W370I","riolet"
"RGFIXV77C92K763N","Grand Marquis"
"RNCVFW69M72H227R","900"
"RSKYMP19X99L356F","Discovery"
"RTXMLP84W56D464V","Escalade EXT"
"RWXAHS16Q69C607E","PT Cruiser"
"RZCUNR76K90W458Y","F430"
"SBAUEH59M12P739I","S80"
"SSNTET86V60Q854J","Dakota Club"
"SXELZL26N68M016F","SL-Class"
"SXQPPS30C79D088A","Sierra Hybrid"
"SXWOIG54G61C100S","Expedition"
"SYQFES47S49E221E","Civic"
"SZZVBR22L52C335O","Sierra 2500"
"THCWHR18P38J711N","Montero"
"TIXXUP92K11F878S","Sebring"
"TMKVSM45P14O544K","Cougar"
"TQSUQI56J51H936A","Durango"
"UKBQOD31X04K086S","Safari"
"UMOFLD97Z40G646N","Prelude"
"UNDOAO64D63B838T","Mustang"
"UYJRHK61I69Y043U","Durango"
"VAZJSE96H09D817P","C70"
"VBTUXJ91X58P755I","Mustang"
"VKYFKX89T44T765R","A8"
"VLSJLZ43W81V022X","Dakota"
"VMLJQW32P83W006M","RX-7"
"WGNCIN69D18K665W","200"
"WJYBEY36T30G643B","Avalanche 2500"
"WKNHLB74D76A966H","E-Series"
"WNKCWP89Q19P287B","Explorer"
"WNWRCY32P99H912J","XL-7"
"WRRDBK28N46Z291X","Milan"
"WTYTET78D52E919H","D350"
"WVAVTQ14K11G229F","Z3"
"WVJGKB82T57E302J","Aerostar"
"WYXPHW89A87V093V","Firebird"
"XCWSMO29K71N898E","XC70"
"XEVFED62P40M660T","F250"
"XGQUWL98A04N888V","FX"
"XHKOVB62I60E869Q","Continental"
"XHLZXY13O72S493P","Range Rover"
"XKMHVJ74R79E723T","STS"
"XLIDDU69T06C416N","Supra"
"XQKLOF03H62I351U","E350"
"XRWMMI72M55K352Q","Verano"
"XUAPTR00W41V274B","9-3"
"XYHWCZ08K73F696Z","Silhouette"
"YIWLON15J07F038U","Sierra 2500"
"YJDRRB60D96K164R","Breeze"
"YQZCAY08U06W201F","Crown Victoria"
"YVUCJJ70V84H642L","RX-7"
"YWMBEH67B00Q536D","Elise"
"ZIWMID76K98U160D","Vibe"
"ZNDGNP59J71T638V","2500"
