"C_A_Codice_Fiscale","Categoria"
"VKYFKX89T44T765R","Utilitaria"
"DWZGPH36V95T072R","Utilitaria"
"HZAVUY41G66L333X","Berlina"
"HVYDZC52N40G147U","Sportiva"
"MUOGXW35O40R079Q","Naked"
"LSFPBQ10U09G931S","Scooter"
"QLFGBG14D97K963Z","Motocross"
"HHATWT08D60D062Y","Sportiva"
"PMZCJF65P13O955Y","Sportiva"
"XHLZXY13O72S493P","Sportiva"
"AVJMVS27Z20H763L","Naked"
"LWHQLJ48J26E443F","Berlina"
"JHSBBG81L95Q613T","Sportiva"
"ACFGNQ30L49C290E","Naked"
"LWHQLJ48J26E443F","Scooter"
"NNASML76Q64W590P","Sportiva"
"VKYFKX89T44T765R","Sportiva"
"ODAOBR73F09Q200J","Scooter"
"UMOFLD97Z40G646N","Naked"
"WNWRCY32P99H912J","Suv"
"WNKCWP89Q19P287B","Scooter"
"LZYVRC98C75I155R","Suv"
"PUFMAQ18Q60C969U","Naked"
"XEVFED62P40M660T","Sportiva"
"BWLFES44M80C407K","Scooter"
"QLFGBG14D97K963Z","Sportiva"
"UMOFLD97Z40G646N","Utilitaria"
"KWAQDB74C35Z586L","Motocross"
"GKALBL56A02C139J","Suv"
"ZPGJZH98O47C759B","Motocross"
"JTGHVB47L45I393J","Sportiva"
"VKYFKX89T44T765R","Scooter"
"DZETJN50Z07U534A","Motocross"
"LOSEGH03R19H163D","Naked"
"LOSEGH03R19H163D","Sportiva"
"IDNEDA42K99Z105D","Motocross"
"QDVRDB36T13B101K","Sportiva"
"LSFPBQ10U09G931S","Suv"
"BWLFES44M80C407K","Sportiva"
"QDVRDB36T13B101K","Berlina"
"HYGYDE43Y42E709K","Scooter"
"XYHWCZ08K73F696Z","Sportiva"
"OJTTKQ18U59R405T","Sportiva"
"NFSRGR11Y03N801M","Motocross"
"DQBXBH84Q87T608G","Scooter"
"OJTTKQ18U59R405T","Motocross"
"OJZQXD44V55I204E","Scooter"
"MQOITN77R10W569M","Motocross"
"DQBXBH84Q87T608G","Sportiva"
"VAZJSE96H09D817P","Sportiva"
"LZYZFZ86Q98M893U","Sportiva"
"HHBEPI57O65K856C","Suv"
"HYGYDE43Y42E709K","Utilitaria"
"TQSUQI56J51H936A","Motocross"
"IDNEDA42K99Z105D","Sportiva"
"RNCVFW69M72H227R","Berlina"
"IDNEDA42K99Z105D","Scooter"
"ODAOBR73F09Q200J","Motocross"
"XUAPTR00W41V274B","Suv"
"HZAVUY41G66L333X","Utilitaria"
"ETXKVQ18D71H299N","Berlina"
"ZNDGNP59J71T638V","Berlina"
"MOTDTS40Z94X404B","Suv"
"FILXNU71F40Y532I","Scooter"
"MQBVSE69G24X064B","Utilitaria"
"PMZCJF65P13O955Y","Scooter"
"WRRDBK28N46Z291X","Berlina"
"PXHVMC72N67J929R","Sportiva"
"PXHVMC72N67J929R","Utilitaria"
"FALDMA79A02E678K","Motocross"
"AYYGFF86S30M223A","Scooter"
"GWSWCE20P38A006U","Motocross"
"ZQIEER25Z09Q808X","Naked"
"KMPGHY22U71K207Q","Naked"
"VBTUXJ91X58P755I","Berlina"
"NJODBW91S86G879X","Berlina"
"NABPLF99T42E507S","Suv"
"QVPIMX18Y61Y433R","Suv"
"ZQIEER25Z09Q808X","Berlina"
"RSKYMP19X99L356F","Sportiva"
"PRNQQS94T77N371B","Motocross"
"SBAUEH59M12P739I","Motocross"
"DZETJN50Z07U534A","Naked"
"OZVRKR96U73F698M","Sportiva"
"ZNDGNP59J71T638V","Scooter"
"SYQFES47S49E221E","Utilitaria"
"DXDGKX90W87Y932Z","Scooter"
"CISNIA37X86R911F","Berlina"
"DJQLIS80B95H293O","Suv"
"KWAQDB74C35Z586L","Sportiva"
"EUFYNR16X90S631F","Motocross"
"ZIWMID76K98U160D","Berlina"
"MXZDCD63C48U147N","Motocross"
"QLFGBG14D97K963Z","Naked"
"SXELZL26N68M016F","Sportiva"
"ETXKVQ18D71H299N","Naked"
"MUOGXW35O40R079Q","Berlina"
"WTYTET78D52E919H","Motocross"
"PMZCJF65P13O955Y","Suv"
"ENEGRD73I87H140X","Naked"
"UNDOAO64D63B838T","Scooter"
"YVUCJJ70V84H642L","Scooter"
"NFSRGR11Y03N801M","Suv"
"IKCAYP92R66W837J","Motocross"
"MBIOWU23F78K866P","Sportiva"
"JTGHVB47L45I393J","Berlina"
"WVJGKB82T57E302J","Berlina"
"HKGSWS83V01P425N","Sportiva"
"RNCVFW69M72H227R","Naked"
"GKALBL56A02C139J","Sportiva"
"CISNIA37X86R911F","Scooter"
"PRNQQS94T77N371B","Scooter"
"HVYDZC52N40G147U","Utilitaria"
"ZQIEER25Z09Q808X","Scooter"
"LRGQSJ30V92V352A","Sportiva"
"PRNQQS94T77N371B","Berlina"
"XKMHVJ74R79E723T","Scooter"
"IDNEDA42K99Z105D","Berlina"
"UYJRHK61I69Y043U","Berlina"
"DPJSBJ29Z52F587B","Scooter"
"QVPIMX18Y61Y433R","Berlina"
"WKNHLB74D76A966H","Suv"
"PJQKOH05A29Q376V","Utilitaria"
"ODAOBR73F09Q200J","Naked"
"OIMLAU06U16T552F","Sportiva"
