Codice_Fiscale,Nome,Cognome,Via,Numero_Civico,CAP,Provincia,Data_Nascita,Email,Telefono,Vendita,Noleggio
AACJCW79R56T967A,Faunie,Schulze,Upham,144,28731,SZ,1967-12-26,fschulzeg9@mail.ru,253-214-4596,0,0
AAXHAB64U96Q208U,Mirabelle,Entwhistle,"Saint Paul",156,92037,WO,1995-12-21,mentwhistleeh@japanpost.jp,512-396-2873,0,0
ACFGNQ30L49C290E,Debbie,Gowan,Nobel,8,24939,EN,1982-12-07,dgowan28@sohu.com,861-857-7430,1,0
ACKAOT28C54B747N,Randolph,Rolls,Magdeline,71,79184,RC,1970-05-31,rrollsad@dailymotion.com,494-926-3022,1,1
ADRPMU31S99L692A,Elianora,Hrishchenko,Columbus,143,27096,DO,1979-12-17,ehrishchenko91@alexa.com,649-956-8003,1,1
ADSXNW73N15E036G,Brok,Kilmaster,Clarendon,45,56625,JO,1956-10-07,bkilmasterf1@deviantart.com,954-811-5609,1,0
AEIIND49C46I381L,Neill,Pressman,Maywood,184,21230,VY,1959-12-24,npressmanh2@blog.com,119-208-0023,0,0
AGNAZI55F89P801O,Davita,Murfett,Linden,144,72159,PX,1996-12-25,dmurfett5k@smugmug.com,357-326-2967,1,1
AIBTNS95S39P247L,Sherlocke,Bray,Ridgeway,87,17095,IS,1954-08-17,sbray1l@huffingtonpost.com,404-606-9404,1,1
AIJFSO16I62C036O,Aridatha,Hulse,Barby,49,60846,KU,1963-07-24,ahulsebi@skype.com,749-910-3253,0,0
AOTUMY85V25W369O,Tiler,Tucknott,Delladonna,10,39625,WX,1969-02-21,ttucknottbg@netvibes.com,361-609-3036,1,1
APAYLB05K98K546S,Hoyt,Bome,Hazelcrest,200,42942,IE,1959-01-29,hbome5e@census.gov,219-644-5727,0,1
AQHUQM91Y24L005C,Zelma,Decaze,Oriole,35,92251,AD,1961-01-23,zdecazefs@alexa.com,891-331-3962,0,1
AQSQOK88B98U130Z,Colby,Nardrup,Rigney,171,41196,HZ,1975-09-23,cnardrup4t@answers.com,445-307-1412,1,1
ASARGF63Q01H540M,Malvin,Kilford,Merry,150,61033,OH,1994-09-28,mkilford8t@w3.org,298-981-2556,1,1
ASCWFT08I51W790V,Zorine,Simecek,Fremont,146,74130,TE,1969-08-22,zsimecek4x@economist.com,398-916-4563,0,0
ASDSAA65O82W048O,Schuyler,Yurchishin,Carpenter,84,23158,LE,1970-01-27,syurchishinv@home.pl,953-240-2199,0,1
ASJKJD11P82L981R,Roxi,Rusted,Bellgrove,10,94577,IO,1992-05-11,rrustedcm@sbwire.com,358-235-1525,0,0
ATOPPV18I18V056E,Elbert,Boyse,Kingsford,87,29341,KJ,1951-04-04,eboysed7@tamu.edu,897-187-3175,1,0
AUDNZH53D26Q374U,Theo,Congram,Debra,77,68053,OB,1967-09-03,tcongram5x@gizmodo.com,467-460-0426,0,1
AUUSHK86B11L397G,Edin,Stobart,Bartelt,166,91710,TI,1973-01-27,estobarte9@google.de,957-463-0581,0,0
AVJMVS27Z20H763L,Tanitansy,"Le Floch",Shasta,136,15463,ZU,1953-08-24,tlefloch6h@symantec.com,254-512-8625,1,1
AWCLWK38R47Q675U,Bird,Kinset,Nelson,200,34581,QS,1973-04-10,bkinset4@addthis.com,463-719-4304,0,1
AXBJPR02L73V093B,Bear,Ritzman,Hazelcrest,114,56733,AN,1991-04-26,britzman72@soup.io,130-546-5594,1,0
AXGHWK44A12V921L,Terencio,Brunton,Melby,142,84178,MQ,1985-11-03,tbruntonax@de.vu,995-922-1299,0,1
AXKLPU58J21P197A,Gabbie,Batiste,Walton,135,89689,PG,1977-05-08,gbatisteaw@furl.net,530-716-3866,0,0
AXVQIS87C37M095Y,Libbi,Hamley,Hudson,131,51106,SF,1959-02-20,lhamleyf9@bbc.co.uk,422-116-4626,1,0
AYYGFF86S30M223A,Ivy,Vicary,Carey,174,92390,XM,1986-04-29,ivicaryh5@last.fm,560-323-3615,1,1
BAUAPV31J50U332Z,Alexandra,Mulvey,Bellgrove,84,65349,YL,1997-11-21,amulveyd4@ucla.edu,958-851-7080,0,0
BBWMLE72W99L460E,Gayel,Hylton,Fremont,56,45025,OI,1959-10-29,ghyltonda@google.com,786-802-6186,0,0
BCHQEA99D57R469D,Vitoria,Dreinan,Sycamore,15,76378,MR,1952-11-20,vdreinan2w@vinaora.com,541-882-7052,0,1
BEQLUA34H20B825G,Isidora,Tewkesbury,Sugar,118,48466,CN,1975-02-07,itewkesburygx@biblegateway.com,679-987-9398,0,0
BFVEDZ41Q65G363Y,Von,Vedeniktov,Iowa,76,40758,PB,1971-08-24,vvedeniktov2i@barnesandnoble.com,979-914-8945,1,0
BGQMOS11P86Q149K,Isidora,Abram,Northridge,68,54600,CX,1979-08-12,iabram7s@sogou.com,956-779-8512,1,1
BICPGB11Q13P628L,Cristine,Derham,Petterle,156,39037,TN,1964-12-28,cderhamfz@usgs.gov,149-230-4947,0,1
BIIBYL39G22W107I,Marjorie,Blanchflower,"Lake View",66,59436,AF,1956-08-27,mblanchflower3q@clickbank.net,408-487-5560,0,0
BJIAAD00I89R750C,Giraud,Kinnock,Jackson,52,23857,MD,1976-05-02,gkinnock63@cornell.edu,179-885-6441,0,1
BJIALS87O72V514M,Rochester,Gowenlock,Bultman,160,91658,WK,1967-10-21,rgowenlockc0@utexas.edu,593-443-2412,0,1
BKYKNJ91X85R587T,Bjorn,Cantor,Paget,13,78054,CI,1989-08-26,bcantor5a@unesco.org,513-104-3099,1,1
BLVFUF67U35U133Q,Urbanus,Witcomb,South,12,86811,HB,1954-04-29,uwitcomb59@joomla.org,975-620-4758,0,1
BLYUAV10L69W853M,Marlane,Bradman,Bobwhite,11,57218,DO,1982-08-26,mbradmandk@t-online.de,816-728-5478,0,0
BNFGPY17G18J574E,Pedro,Castelow,"Ridge Oak",54,77013,II,1981-02-03,pcastelow5v@51.la,176-375-2703,0,1
BNMSWA07M88K291E,Garwood,Dakin,Mockingbird,96,03995,BS,1962-03-30,gdakin6d@dmoz.org,637-952-6682,0,1
BNNTTB66V46X229V,Beryle,Spencley,Dryden,83,87113,DA,1992-03-24,bspencleygq@mit.edu,916-676-9478,0,0
BNVEFK57S62F256J,Cam,Hearnes,Northfield,172,97571,IM,1969-11-27,chearnes93@digg.com,737-387-7721,0,1
BPKLIU58X90M507B,Tanitansy,Todhunter,Blackbird,29,64415,HS,1967-08-18,ttodhunter8q@oaic.gov.au,399-178-2252,0,0
BQGJKI11N91J623D,Dunstan,Laurentin,Jana,86,61793,II,1975-01-17,dlaurentin25@goo.ne.jp,258-796-3088,0,1
BQPXMW91K40Z655X,Mar,Penwright,"Golf View",77,67881,QJ,1974-09-14,mpenwright2m@pen.io,284-182-4928,0,1
BTLCNU38B77A480P,Teresa,Rash,Southridge,85,02655,YH,1975-11-05,trashm@parallels.com,972-451-6396,1,1
BVAXTX33H24G060E,Hew,Charrette,Messerschmidt,161,76711,ZC,1961-02-05,hcharrette31@upenn.edu,526-651-2286,0,0
BWLFES44M80C407K,Lazare,Kapelhoff,Veith,197,00396,IF,1956-10-19,lkapelhoff7t@omniture.com,771-767-3793,1,1
BWLYKL04V01P581D,Giacomo,Dallender,Sommers,6,60776,QY,1988-09-14,gdallendera0@wp.com,761-674-5224,0,1
CAQAWO75M36T173Q,Micky,Annetts,Magdeline,30,34545,UN,1970-02-27,mannetts41@last.fm,333-917-8203,0,1
CBRXUH64Z01I868O,Abe,Ream,Barby,10,85129,LJ,1960-01-17,areamh7@illinois.edu,658-126-8016,0,0
CCPFOI93L12Y581W,Frankie,Cattow,Hoepker,175,21630,BG,1955-03-07,fcattow7y@cam.ac.uk,717-810-6335,1,0
CDKYYB45U03K637V,Berky,Seldon,Melrose,178,05428,BJ,1981-08-08,bseldonab@people.com.cn,168-633-8785,0,0
CHIDDJ74U01M308F,Robbyn,Pilipyak,Hintze,104,51806,LB,1970-04-07,rpilipyak2e@list-manage.com,707-301-3860,1,1
CIEFDT13N50B891C,Kristal,Iacovino,Westend,141,49342,WF,1956-08-13,kiacovinogh@yolasite.com,871-912-9734,1,1
CISNIA37X86R911F,Tyne,Spurnier,Dapin,189,71137,VU,1966-02-13,tspurnierbq@wikispaces.com,714-275-1344,1,0
CIUMMV12E77J488H,Greg,Scandred,Mcguire,106,01871,NF,1964-06-10,gscandredb7@prnewswire.com,143-874-1468,1,0
CIZGWH45Q71V543Z,Bartolemo,Bonds,Paget,115,07258,YS,1970-02-10,bbonds3p@github.io,419-933-3090,1,1
CJYQYU53W30L121K,Markos,Tunnicliffe,Pleasure,154,55123,HR,1965-05-22,mtunnicliffeat@mail.ru,364-464-0927,0,1
CMCUWG68Z66E180Y,Clarie,Bartkiewicz,Kedzie,93,54537,XL,1999-07-03,cbartkiewicz1c@addthis.com,700-796-6335,0,0
CMLSSG55R10Q449G,Emmi,Bartomieu,"Fair Oaks",60,17552,VY,1966-01-30,ebartomieuff@newsvine.com,453-262-2563,0,0
COYIRX31P49G975F,Barry,Ledington,Eastlawn,196,84934,TG,1988-05-07,bledington6b@rambler.ru,984-157-7408,1,1
CPNRZQ53H82G977R,Laina,Drynan,Eastwood,66,07866,EQ,1975-08-26,ldrynancb@bandcamp.com,826-814-7809,0,0
CPULBG17D63F210P,Bibby,Castrillo,Roxbury,120,89075,DS,1956-03-23,bcastrillo67@wikia.com,502-688-0053,0,1
CRHCTO21J03R505S,Madelon,Topley,"Del Sol",70,09643,RW,1953-08-22,mtopley73@uol.com.br,744-812-6823,0,1
CRIAYT32Y63Y307L,Rurik,Doddemeade,Shopko,194,64193,JZ,1958-09-06,rdoddemeade8j@pcworld.com,744-499-5834,1,1
CRTPBS99Q85C136J,Avictor,Rivitt,Lunder,88,07420,VG,1980-05-28,arivittaj@photobucket.com,998-735-8597,0,0
CSCMUO97U23R747T,Jock,Jelf,Prairieview,17,28157,JA,1970-09-12,jjelfci@cdbaby.com,119-990-9940,0,0
CSLOLY28G46O506M,Mariette,Breissan,Express,157,26424,XY,1994-05-13,mbreissanc6@pbs.org,631-568-3131,1,1
