Id_Noleggio,Data_Consegna,Data_Ordine,Numero_Giorni,Luogo_Restituzione,Id_Dipendente,N_Id_Veicolo,N_Codice_Fiscale
900000,2022-06-28,2022-06-26,11,Brasy,2000078,19UUA65595A031059,ACKAOT28C54B747N
900001,2022-06-15,2022-06-14,10,Kelasuri,2000019,19UUA66216A060741,ADRPMU31S99L692A
900002,2022-07-25,2022-07-22,3,Donglai,2000139,19UUA66238A137161,AGNAZI55F89P801O
900003,2022-07-04,2022-07-02,4,Zhongxing,2000154,19UUA662X7A767497,AIBTNS95S39P247L
900004,2022-07-10,2022-07-09,6,Reforma,2000026,19UUA8F22CA833658,AOTUMY85V25W369O
900005,2022-07-31,2022-07-29,4,Niedzwiedz,2000098,19UUA8F50DA696490,APAYLB05K98K546S
900006,2022-07-09,2022-07-07,13,Terangun,2000031,19UUA8F52CA504890,AQHUQM91Y24L005C
900007,2022-05-30,2022-05-27,11,Zhongxing,2000083,19VDE3F34DE555576,AQSQOK88B98U130Z
900008,2022-05-22,2022-05-21,14,Nyakhachava,2000128,19XFA1E82BE721054,ASARGF63Q01H540M
900009,2022-07-04,2022-07-02,7,Brasy,2000102,19XFB2F54FE126025,ASDSAA65O82W048O
900010,2022-07-29,2022-07-28,16,Taouloukoult,2000007,1B3AZ6JZ2AV049443,AUDNZH53D26Q374U
900011,2022-07-03,2022-07-01,11,Shumyachi,2000018,1C3CCBBB2DN501421,AVJMVS27Z20H763L
900012,2022-07-09,2022-07-06,18,Fundong,2000033,1C4AJWAG6FL807663,AWCLWK38R47Q675U
900013,2022-08-05,2022-08-04,3,Jumpangdua,2000063,1C4NJPBA3CD041754,AXGHWK44A12V921L
900014,2022-05-23,2022-05-20,8,Henanan,2000161,1C4RDHAG1EC861960,AYYGFF86S30M223A
900015,2022-07-19,2022-07-18,5,Kapinango,2000000,1C4RDHEG9CC785542,BCHQEA99D57R469D
900016,2022-06-21,2022-06-18,9,"Zgornje Pirnice",2000165,1D4PT5GK9BW212280,BGQMOS11P86Q149K
900017,2022-08-02,2022-07-31,10,Bors,2000037,1D4PU2GK7AW457069,BICPGB11Q13P628L
900018,2022-07-02,2022-07-01,6,Sardasht,2000070,1D7CE3BK8AS148097,BJIAAD00I89R750C
900019,2022-05-22,2022-05-19,9,Xinzhou,2000050,1D7CW3GKXAS673183,BJIALS87O72V514M
